Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
1,Exam 2,2,73.1,3/29/2021 9:48,I CONSENT,,,,Not all at that concerned,,11,Made it much more difficult for other students to cheat,Had no effect on my exam score,Greatly Reduced,Same Amount,The same amount,-2,0,-2,0,0,0,0,1,0,0,0,0,0,0,53.3,75.47
113,Exam 2,2,88.5,3/16/2021 9:25,I CONSENT,Am not familiar with how the software works,,"Having to pay for the camera access, while expected, still seems unncessary. ",Slightly concerned,,20,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Much less for this exam,-2,0,0,0,-2,0,1,0,0,0,0,0,0,0,62.2,65.22
85,Exam 2,2,50,3/16/2021 9:01,I CONSENT,,,none,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,57.8,75.52
69,Exam 2,2,75,3/16/2021 8:25,I CONSENT,,,nothing ,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,37.8,75.9
142,Exam 2,2,48.1,3/16/2021 11:27,I CONSENT,Internet connection was too slow,,My roommate walked in. Also I failed. ,Slightly concerned,,10,Made it much more difficult for other students to cheat,Slightly decreased my exam score,Slightly Reduced,Much Less,Much less for this exam,-2,-1,-1,-2,-2,0,1,0,0,0,0,0,0,0,57.8,74.74
86,Exam 2,2,42.3,3/16/2021 10:12,I CONSENT,Internet connection was too slow,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,1,-2,-2,-2,0,0,0,0,0,0,0,0,0,42.2,69.48
150,Exam 2,2,73.1,3/16/2021 9:15,I CONSENT,,,nothing,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly More,Slightly more for this exam,-2,1,-2,1,1,0,0,1,0,0,0,0,0,0,46.7,70.7
177,Exam 2,2,67.3,3/16/2021 8:59,I CONSENT,,,,Not all at that concerned,,5,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,1,-2,0,0,0,0,1,0,0,0,0,0,0,55.6,73.49
91,Exam 2,2,55.8,3/16/2021 9:17,I CONSENT,Internet connection was too slow,,,Moderately concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,The same amount,-2,1,-2,0,0,0,0,0,0,0,0,0,0,0,55.6,76.62
116,Exam 2,2,84.6,3/16/2021 8:06,I CONSENT,,,none,Not all at that concerned,,2,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Much less for this exam,-2,1,0,0,-2,0,0,1,0,0,0,0,0,0,77.8,88.14
81,Exam 2,2,65.4,3/16/2021 8:22,I CONSENT,,,taking the test was fine. ,Not all at that concerned,,6,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Much less for this exam,-2,1,0,0,-2,0,0,1,0,0,0,0,0,0,57.8,79.34
59,Exam 2,2,61.5,3/16/2021 7:49,I CONSENT,,,,Not all at that concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,51.1,75.54
178,Exam 2,2,59.6,3/16/2021 8:10,I CONSENT,,,,Not all at that concerned,,9,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,48.9,75.18
138,Exam 2,2,61.5,3/16/2021 7:49,I CONSENT,,,My greatest concern was that I suck at biology and I didn't want to fail. ,Very concerned,,3,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,57.8,77.53
33,Exam 2,2,80.8,3/16/2021 9:52,I CONSENT,Am not familiar with how the software works,,,Slightly concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,75.6,90.23
26,Exam 2,2,84.6,3/16/2021 9:08,I CONSENT,,,I had to use the bathroom... and there was no one to inform that I was doing as such. I poke it into the microphone and took my laptop in the bathroom with me. ,Moderately concerned,,10,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,1,-1,-1,-1,0,0,0,0,1,0,0,0,0,37.8,78.54
18,Exam 2,2,50,3/16/2021 8:31,I CONSENT,,,I had no concerns,Not all at that concerned,,30,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,1,-1,-1,-1,0,0,0,0,0,1,0,0,0,40,72.21
10,Exam 2,2,67.3,3/16/2021 9:08,I CONSENT,Other. Fill in the blank.,video would not load and neither would the test until i restarted 5 times,my greatest concern is starting on time. Many other students and myslef had multiple problems getting the program to load the test to begin ,Very concerned,,0,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,The same amount,-2,1,-1,-1,0,0,0,0,0,0,0,0,0,0,40,77.02
89,Exam 2,2,80.8,3/16/2021 7:51,I CONSENT,,,none,Not all at that concerned,,1,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,1,-1,0,-1,0,0,1,0,0,0,0,0,0,64.4,82.08
144,Exam 2,2,94.2,3/16/2021 7:59,I CONSENT,,,Worry that I will get flagged when I wasn't doing anything wrong. ,Moderately concerned,,10,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,1,-1,0,-1,0,0,0,1,1,0,0,0,0,68.9,87.4
49,Exam 2,2,55.8,3/16/2021 7:38,I CONSENT,,,none,Not all at that concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,1,2,-2,-2,-2,0,0,1,0,0,0,0,0,0,31.1,68.72
121,Exam 2,2,78.8,3/16/2021 8:14,I CONSENT,,,internet connection,Slightly concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,44.4,77.24
121,Exam 2,2,78.8,3/16/2021 8:17,I CONSENT,,,internet connection,Slightly concerned,,8,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,44.4,77.24
48,Exam 2,2,80.8,3/16/2021 7:50,I CONSENT,,,,Not all at that concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,0,0,0,0,0,0,48.9,78.31
4,Exam 2,2,94.2,3/16/2021 8:02,I CONSENT,,,no concerns,Not all at that concerned,,NA,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,84.4,93.17
96,Exam 2,2,73.1,3/16/2021 14:08,I CONSENT,Proctoring software disconnected,,"Had issues loading in at first. It loaded in after ~15 minutes or so (the lockdown browser prep assignment also didn’t show up on my Canvas yesterday for some reason? it showed up when i came into the exam though). it also disconnected me a few times for no apparent reason, but it wasn’t that much of a problem as i was able to quickly get back in every time, just frustrating after the 2nd time. overall, i was fine as i take tests pretty fast, but i heard a lot of people getting punished by a few of these factors. good luck evening out this playing field ahahah. i seriously feel for you guys!",Moderately concerned,,30,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,42.2,74.66
117,Exam 2,2,71.2,3/16/2021 8:01,I CONSENT,Internet connection was too slow,,Internet connection causes significant frustration and anxiety.,Moderately concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,0,0,0,0,0,0,0,46.7,74.56
95,Exam 2,2,92.3,3/16/2021 8:19,I CONSENT,,,No concerns,Not all at that concerned,,30,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,0,1,0,1,0,0,0,82.2,92.42
102,Exam 2,2,86.5,3/16/2021 8:56,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Other. Fill in the blank.",My cat kept making noise/jumping on my desk,My internet disconnected a few times which caused me to have to leave the page with my exam. I didn’t know how to reconnect so I googled it on my phone. I’m worried that I’ll be penalized for closing out of the exam/being on my phone.,Very concerned,,30,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,1,2,-1,-2,-2,0,1,0,0,0,0,0,0,0,75.6,90.16
35,Exam 2,2,90.4,3/23/2021 9:07,I CONSENT,,,"I did not have any concerns; but if I had to pick a concern that I might have, then it would probably be the possibility of my roommate moving around doing her own thing and the proctor thinking that cheating was involved with that.",Not all at that concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,1,2,-1,-2,-2,0,1,0,0,0,1,0,0,0,77.8,89
104,Exam 2,2,51.9,3/16/2021 7:46,I CONSENT,,,None,Not all at that concerned,,19,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,1,2,-1,-2,-1,0,0,0,1,0,0,0,0,0,64.4,80.74
106,Exam 2,2,71.2,3/16/2021 8:37,I CONSENT,Video could not detect my face,,Took a while for the camera to initial detect my face,Slightly concerned,,24,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,1,2,-1,-2,-1,0,1,0,0,0,0,0,0,0,60,78.57
152,Exam 2,2,86.5,3/16/2021 8:10,I CONSENT,,,N/A,Not all at that concerned,,60,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,1,2,-1,-1,-2,0,0,0,0,0,1,0,0,1,71.1,88.13
100,Exam 2,2,84.6,3/16/2021 8:37,I CONSENT,,,"I am just always worried my internet or power will go out, especially with foul weather.",Slightly concerned,,8,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,2,-1,-1,-1,0,0,0,0,0,1,0,0,0,66.7,85.6
38,Exam 2,2,96.2,3/16/2021 8:23,I CONSENT,,,No concerns - I already had the lockdown browser + webcam installed; it did help to have the exam prep to double check everything worked a few days before the exam,Not all at that concerned,,5,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,2,-1,-1,-1,0,0,0,0,0,1,0,0,0,82.2,94.19
157,Exam 2,2,69.2,3/16/2021 8:21,I CONSENT,,,nothing,Not all at that concerned,,27,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,1,2,-1,0,0,0,0,1,0,0,0,0,0,0,51.1,76.93
93,Exam 2,2,76.9,3/16/2021 8:31,I CONSENT,,,,,,31,Made it slightly easier for other students to cheat,Greatly improved my exam score,,Slightly Less,Slightly less for this exam,1,2,NA,-1,-1,0,0,0,0,0,0,0,0,0,55.6,80.84
17,Exam 2,2,76.9,3/16/2021 8:25,I CONSENT,,,,Not all at that concerned,,19,Made it slightly easier for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,1,0,0,0,-1,0,0,0,0,0,1,0,0,1,48.9,76.18
111,Exam 2,2,88.5,3/16/2021 7:29,I CONSENT,,,No concerns,Not all at that concerned,,20,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,1,1,-2,-1,-2,0,0,0,0,0,0,0,0,0,80,89.78
99,Exam 2,2,78.8,3/16/2021 7:58,I CONSENT,Internet connection was too slow,,that my internet would get logged out,Moderately concerned,,9,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,1,-2,-1,-1,0,0,0,0,0,0,0,0,0,91.1,93.64
112,Exam 2,2,96.2,3/16/2021 7:53,I CONSENT,,,WiFi or power issue due to storm,Moderately concerned,,15,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Much less for this exam,1,1,-2,0,-2,0,0,0,0,0,1,0,0,0,80,92.4
179,Exam 2,2,80.8,3/16/2021 8:41,I CONSENT,,,I did not really have any concerns,Not all at that concerned,,28,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Raised,Same Amount,Slightly less for this exam,1,1,1,0,-1,0,1,0,0,0,0,0,0,0,64.4,81.22
50,Exam 2,2,71.2,3/16/2021 8:36,I CONSENT,,,The test and proctoring service went smoothly.,Not all at that concerned,,35,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Slightly less for this exam,1,1,-1,-2,-1,0,0,0,1,0,1,0,0,0,71.1,89.01
103,Exam 2,2,75,3/16/2021 8:00,I CONSENT,,,Bad weather would possibly cause me to lose internet connection.,Not all at that concerned,,20,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,1,1,-1,-1,-2,0,0,0,0,0,1,0,0,0,73.3,83.69
158,Exam 2,2,61.5,3/16/2021 8:20,I CONSENT,,,none,Not all at that concerned,,30,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,44.4,75.7
140,Exam 2,2,80.8,3/16/2021 9:51,I CONSENT,,,N/A,Not all at that concerned,,15,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,1,1,-1,0,-1,0,0,0,1,0,0,0,0,0,68.9,85.82
55,Exam 2,2,73.1,3/16/2021 8:27,I CONSENT,,,"At the end I realized I accidentally took the wrong test, I took the double time but I think I exited out before the time for the non accomodation test.",Moderately concerned,,20,Made it slightly easier for other students to cheat,,,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,66.7,81.9
118,Exam 2,2,71.2,3/16/2021 7:56,I CONSENT,,,My roommate would walk in and make too much noise.,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Slightly less for this exam,-1,2,-2,-2,-1,0,1,0,0,0,0,0,0,0,75.6,86.79
124,Exam 2,2,73.1,3/16/2021 8:45,I CONSENT,,,"I did not have any concerns. At first, it wouldn't connect, so I exited the test and went back in and it loaded immediately.",Not all at that concerned,,9,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-1,2,-2,-1,-2,0,0,0,0,0,0,0,0,0,62.2,82.96
90,Exam 2,2,76.9,3/16/2021 8:28,I CONSENT,,,,Not all at that concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,0,0,0,0,0,0,57.8,81.77
29,Exam 2,2,75,3/16/2021 8:05,I CONSENT,,,None,Very concerned,,15,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly more for this exam,-1,2,-2,1,1,0,0,0,0,1,1,0,0,0,73.3,86.78
97,Exam 2,2,88.5,3/16/2021 7:59,I CONSENT,,,,,,26,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,-1,2,-2,1,0,0,0,0,0,0,1,0,0,0,71.1,89.2
127,Exam 2,2,90.4,3/16/2021 7:56,I CONSENT,,,I had no concerns today. Everything went great!,Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-1,2,-2,0,-1,0,0,1,0,0,0,0,0,1,75.6,89.53
77,Exam 2,2,80.8,3/16/2021 8:00,I CONSENT,,,"I know we are allowed to use our notes for the exams in this class, but in ""rules"" that Lockdown shows us it said we can't and I am concerned my test will be flagged because of this. ",Moderately concerned,,30,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-1,2,-2,0,-1,0,0,0,1,0,0,0,0,0,71.1,86.58
62,Exam 2,2,84.6,3/16/2021 8:07,I CONSENT,,,No concern,Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Raised,Same Amount,Slightly less for this exam,-1,2,1,0,-1,0,0,1,0,1,0,0,0,0,82.2,90.76
3,Exam 2,2,88.5,3/16/2021 7:55,I CONSENT,,,internet connection,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,-1,2,-1,-1,-2,0,0,0,1,0,0,0,0,0,60,84.05
133,Exam 2,2,51.9,3/17/2021 23:05,I CONSENT,,,i did terrible,Moderately concerned,,5,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,84.4,89.6
24,Exam 2,2,82.7,3/16/2021 16:58,I CONSENT,Internet connection was too slow,,internet connection,Slightly concerned,,40,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,2,-1,-1,-1,0,0,0,0,0,1,0,0,0,55.6,84.04
63,Exam 2,2,71.2,3/16/2021 10:45,I CONSENT,"Internet connection was too slow,Other. Fill in the blank.",Proctoring software was slow,The proctoring software was slow ,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,86.7,92.18
156,Exam 2,2,78.8,3/16/2021 8:12,I CONSENT,,,,Not all at that concerned,,11,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,2,-1,0,-1,0,0,0,0,0,0,0,0,0,77.8,91.46
21,Exam 2,2,80.8,3/16/2021 8:05,I CONSENT,,,All was great,Not all at that concerned,,5,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,2,-1,0,-1,0,0,0,0,0,1,0,0,0,62.2,84.21
57,Exam 2,2,50,3/16/2021 8:23,I CONSENT,,,the time to complete it came close to time for my next class.,Slightly concerned,,40,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,48.9,64.14
61,Exam 2,2,80.8,3/16/2021 17:09,I CONSENT,,,not having enough time,Not all at that concerned,,NA,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,0,0,0,1,0,0,0,66.7,83.32
180,Exam 2,2,78.8,3/16/2021 8:58,I CONSENT,Internet connection was too slow,,proctoring would not load test,Moderately concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,0,0,0,1,0,0,0,71.1,80.99
13,Exam 2,2,57.7,3/16/2021 7:46,I CONSENT,,,I didn't know it was today.,Not all at that concerned,,20,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Greatly Reduced,Same Amount,Slightly more for this exam,-1,0,-2,0,1,1,0,0,0,0,0,0,0,0,55.6,74.75
181,Exam 2,2,57.7,3/16/2021 8:30,I CONSENT,,,I do not have one,Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,55.6,79.91
107,Exam 2,2,34.6,3/16/2021 8:21,I CONSENT,,,My greatest concern was hoping the exam did not cut off due to weather issues,Moderately concerned,,30,Made it slightly more difficult for other students to cheat,Slightly decreased my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,-1,-1,-2,-2,0,1,0,0,0,0,0,0,0,64.4,73.06
182,Exam 2,2,63.5,3/17/2021 10:29,I CONSENT,"Internet connection was too slow,Video could not detect my face",,It just took about 10-15 minutes to be able to do the camera test where because it kept taking to long to connect but I checked my internet during this time and it was fine,Slightly concerned,,20,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Raised,Slightly Less,Much less for this exam,-1,1,2,-1,-2,0,0,0,0,0,0,0,0,0,48.9,70.11
153,Exam 2,2,73.1,3/16/2021 8:00,I CONSENT,,,"That Respondus would, for lack of a better term, throw up on me and cause a premature exit from the exam.",Not all at that concerned,,20,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,1,-2,-1,-1,0,1,0,1,0,0,0,0,0,62.2,83.17
6,Exam 2,2,59.6,3/16/2021 9:03,I CONSENT,Other. Fill in the blank.,"The software took forever to connect to my video even after three tries and talking to an agent, and then it took a long time to connect to the ""media""/test",The software is just a pain to use,Very concerned,,NA,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,The same amount,-1,1,-2,-1,0,0,0,1,0,0,0,0,0,0,57.8,75.81
80,Exam 2,2,75,3/16/2021 7:35,I CONSENT,,,Internet connection,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Slightly less for this exam,-1,1,0,0,-1,0,0,0,0,0,1,0,0,0,73.3,85.19
83,Exam 2,2,71.2,3/16/2021 8:36,I CONSENT,,,everything went fine with lockdown browser ,Not all at that concerned,,25,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Much less for this exam,-1,1,1,-1,-2,0,0,0,0,0,1,0,0,0,62.2,81.96
101,Exam 2,2,82.7,3/16/2021 8:10,I CONSENT,Other. Fill in the blank.,I submitted my test on accident before I was done,Nothing,Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,1,-1,-2,-2,0,0,0,0,0,1,0,0,0,73.3,89.73
125,Exam 2,2,82.7,3/16/2021 8:15,I CONSENT,,,"My AC unit is broken and the guy came to fix it during my exam, which I was not aware he would do ",Slightly concerned,,19,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,1,-1,-1,-1,0,0,0,0,1,0,0,0,0,84.4,91.26
183,Exam 2,2,69.2,3/16/2021 8:01,I CONSENT,Other. Fill in the blank.,Proctoring would not connect for around 10 minutes,Starting the exam on time,Slightly concerned,,29,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly More,Slightly less for this exam,-1,1,-1,1,-1,0,0,0,1,0,0,0,0,0,73.3,85.97
146,Exam 2,2,69.2,3/16/2021 8:37,I CONSENT,"Proctoring software disconnected,Other. Fill in the blank.",would not load exam for a good bit of time,the fact that the exam would not load and many of us had problems leading us to have to personally contact IT stressed me out and threw me off my studies,Moderately concerned,,15,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,1,-1,0,-1,0,0,0,0,1,0,0,0,0,62.2,80.8
44,Exam 2,2,96.2,3/16/2021 9:08,I CONSENT,,,I was confused on wordings of some of the tests but except for that it was all great. ,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,86.7,94.79
40,Exam 2,2,88.5,3/16/2021 8:10,I CONSENT,,,,Not all at that concerned,,41,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,1,-1,0,0,0,0,0,0,0,1,0,0,0,77.8,89.43
115,Exam 2,2,96.2,3/16/2021 8:09,I CONSENT,,,No concerns. ,Not all at that concerned,,0,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,95.6,97.96
34,Exam 2,2,84.6,3/19/2021 14:19,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,77.8,90.54
69,Exam 2,2,75,3/24/2021 20:27,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,37.8,75.9
47,Exam 2,2,61.5,3/16/2021 9:30,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,53.3,75.22
92,Exam 2,2,94.2,3/17/2021 4:46,I CONSENT,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,71.1,87.08
73,Exam 2,2,67.3,3/16/2021 8:25,I CONSENT,,,,Other,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,64.4,82.3
79,Exam 3,3,70,4/15/2021 8:15,I CONSENT,,,,Not all at that concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,2,-2,-1,-1,0,0,0,0,0,0,0,0,0,60,83.95
121,Exam 3,3,84.4,4/19/2021 13:51,I CONSENT,,,N/A,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,0,2,-2,1,0,0,0,0,0,0,1,0,0,0,44.4,77.24
65,Exam 3,3,87.8,4/21/2021 20:22,I CONSENT,,,None,Not all at that concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,The same amount,0,2,-2,1,0,0,0,0,1,0,0,0,0,0,68.9,87.66
157,Exam 3,3,71.1,4/20/2021 7:49,I CONSENT,,,nothing ,Not all at that concerned,,22,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,1,0,0,0,0,0,0,51.1,76.93
